code;grd;adresse;departement;telephone;contact;eic;site_web;code_postal;code_commune;commune;dep_nom;reg_nom;energie;pdl;sdes;geo
HAGO;Energies et services d'Hagondange;22, rue de la Fontaine;57;03 87 71 66 34;regie-hagondange@wanadoo.fr;17X100B100A20473;www.enes-hag.fr;57300;57283;Hagondange;Moselle;Grand Est;Électricité;694;EL080;49.2467196243, 6.15851425392
PIER;Energies et services Pierrevillers;Bureau Mairie Rue de Verdun;57;03 87 67 94 50;regie.elec.rombas@wanadoo.fr;17X100B100B2083U;es-omega.net;57120;57543;Pierrevillers;Moselle;Grand Est;Électricité;750;EL087;49.2255549058, 6.09577655472
AMNE;Energies et Services ville d'Amneville;Ruelle Saint Nicolas - BP 40009;57;03 87 71 80 00;es.amneville@esathd.net;17X100B100A2006H;es-omega.net;57360;57019;Amneville Les Thermes;Moselle;Grand Est;Électricité;610;EL075;49.2396972255, 6.09947450041
LAVAE;Energies Services Lavaur;18 av Victor Hugo - BP 89;81;05 63 83 64 80;s.blanc@rmel81.fr;17X100B100A2058Z;esl-energies.fr;81503;81140;Lavaur;Tarn;Occitanie;Électricité;714;EL012;43.6895628711, 1.79437213708
SMAC;Energies-services Sainte Marie aux Chênes;1, rue de Gasseville;57;03 87 61 90 32;rce.stemarie@wanadoo.fr;17X100B100A2115C;regie-elec-stemarie.com;57255;57620;Ste Marie Aux Chenes;Moselle;Grand Est;Électricité;832;EL091;49.1914264698, 6.0072170748
BARRG;Gaz de Barr;1, rue du Lycée - BP 37;67;03 88 58 56 70;gdb@gaz-de-barr.fr;17X100B100B2010K;gaz-de-barr.fr;67141;67021;Barr Cedex;Bas-Rhin;Grand Est;Gaz;;EL056;48.4149512356, 7.39930438782
DREU;Gedia;7, rue des Fontaines;28;02 37 65 00 00;grdgaz@gedia-dreux.com;17X100A100A04388;www.gedia-energies.com;28109;28134;Dreux Cedex;Eure-et-Loir;Centre-Val de Loire;Gaz;;EL120;48.7485203213, 1.35931854112
GRNB;GreenAlp;49, rue Félix Esclangon,CS 10110;38;04 76 84 37 25;accueil.grd@greenalp.fr;17X100A100A0416I;greenalp.fr;38042;38185;Grenoble Cedex 9;Isère;Auvergne-Rhône-Alpes;Gaz;;EL099;45.1821215167, 5.72133051752
ELEK;Primeo Réseau de Distribution;26 Rue du Rhône - BP 28;68;03 89 89 76 40;v.sallet@primeo-energie.fr;17X100B100A2157X;primeo-alsace.fr;68301;68297;Saint Louis Cedex;Haut-Rhin;Grand Est;Électricité;672;EL055;47.6016553367, 7.54061872745
RCEM;Régie communale de distribution d'électricité et d'eau Mitry Mory;Rond point Stalingrad;77;01 60 21 20 60;service.client@rceem.com;17X100B100A2068W;www.rceem.fr;77290;77294;Mitry Mory;Seine-et-Marne;Île-de-France;Électricité;768;EL018;48.9779450158, 2.61244465751
MOND;Régie communale de Montdidier;Z.I. La Roseraie - BP 90041;80;03 22 78 74 70;accueil@regiecommunaledemondidier.fr;17X100B100A20716;regiecommunaledemontdidier.fr;80500;80561;Montdidier;Somme;Hauts-de-France;Électricité;732;EL007;49.6484417752, 2.56889051669
SAUL;Régie communale d'électricité de Saulnes;7 Rue Rougeleck - BP 7;54;03 82 23 46 15;regieelectriquesaulnes@wanadoo.fr;17X100B100A2121H;regieelectriquesaulnes.business.site;54650;54493;Saulnes;Meurthe-et-Moselle;Grand Est;Électricité;798;EL094;49.5293904249, 5.82642469537
SPCJ;Régie de Saint Paul Cap de Joux;1 Place de l'Hôtel de Ville;81;05 63 83 64 80;s.blanc@esl81.fr;17X100B100A2110M;esl-energies.fr/st_paul_cap_joux.html;81220;81266;Saint-Paul-Cap-De-Joux;Tarn;Occitanie;Électricité;;EL149;43.635057866, 1.98923840323
MVLZ;Régie d'électricité de Montvalezan-la-Rosiere;Le Chef lieu;73;04 79 06 84 45;accueil@regiemontvalezan.fr;17X100B100A2075Z;regiemontvalezan.fr;73700;73176;Montvalezan;Savoie;Auvergne-Rhône-Alpes;Électricité;740;EL035;45.633431524, 6.87462366552
SQUI;Régie d'électricité de Saint-Quirc;6, rue du Moulin - BP 18;09;05 61 60 33 69;responsable.technique@rme09.fr;17X100B100A2113G;rme09.fr/;09700;09282;Saverdun;Ariège;Occitanie;Électricité;852;EL134;43.2265667321, 1.57373634569
BESS;Régie électrique de Bessans;Mairie;73;04 79 05 96 05;secretariat@mairie-bessans.fr;17X100B100A2014I;regies-electricite-savoie.fr;73480;73040;Bessans;Savoie;Auvergne-Rhône-Alpes;Électricité;630;EL028;45.292032537, 7.04532734274
CABA;Régie électrique de La Cabanasse;10, avenue Lax;66;04 68 04 11 35;regie-la-cabanasse@wanadoo.fr;17X100B100A2022J;lacabanasse.fr/regie-electrique/;66210;66027;La Cabanasse;Pyrénées-Orientales;Occitanie;Électricité;640;EL061;42.5024173109, 2.10678145362
RCER;Régie électrique municipale de Saint Laurent de Cerdans;Mairie Rue de l'Eglise;66;04 68 39 50 04;mairie.st-laurent-de-cerdans@wanadoo.fr;17X100B100A2100P;facebook.com/people/régie-électrique-st-laurent-de-cerdans/100057512406705/;66260;66179;St Laurent De Cerdans;Pyrénées-Orientales;Occitanie;Électricité;770;EL063;42.3968213012, 2.62129986859
TIGN;Régie électriques de Tignes;Immeuble LA COMBE FOLLE - BP 52;73;04 79 06 37 60;accueil@tig.regielec.fr;17X100B100A21291;tignelec.com;73322;73296;Tignes Cedex;Savoie;Auvergne-Rhône-Alpes;Électricité;868;EL044;45.4816828491, 6.93635513554
NIED;Régie intercommunale d'électricité de Niederbronn-Reichshoffen;44, rue du Chemin de Fer;67;03 88 09 82 50;laregie@laregie-tv3v.com;17X100B100A2078T;laregie.fr;67110;67388;Reichshoffen;Bas-Rhin;Grand Est;Électricité;744;EL057;48.9374738141, 7.67524392533
BAZA;Régie Municipale Bazas-Energies;7 avenue du Général Tontoulon - BP 70021;33;05 56 25 12 11;regie.bazas@wanadoo.fr;17X100B100A2011O;bazas-energies.fr/;33430;33036;Bazas;Gironde;Nouvelle-Aquitaine;Électricité;626;EL115;44.4424533682, -0.212326795621
CAZO;Régie municipale de Cazouls-les-Béziers;23, Avenue Jean Jaurès;34;04 67 93 60 70;;17X100B100A20287;cazoulslesbeziers.com;34370;34069;Cazouls-Les-Beziers;Hérault;Occitanie;Électricité;650;EL111;43.3976310061, 3.09968408339
CLOU;Régie municipale d'électricité de Clouange;93 Rue Maréchal Joffre - BP 43;57;03 87 67 15 22;rmect@sitevo.fr;17X100B100A2032G;regie-clouange.com;57185;57143;Clouange;Moselle;Grand Est;Électricité;658;EL077;49.2636746222, 6.08746043718
DALO;Régie municipale d'électricité de Dalou;5, Avenue de Dalou;09;05 61 60 73 49;responsable.technique@rme09.fr;17X100B100A2033E;rme09.fr/;09120;09324;Varilhes;Ariège;Occitanie;Électricité;666;EL128;43.0547690657, 1.63364245482
RMAR;Régie municipale d'électricité de Martres Tolosane;12, Boulevard de la Magdeleine;31;05 61 98 80 02;contact@eleance.fr;17X100B100A20635;eleance.fr;31220;31324;Martres Tolosane;Haute-Garonne;Occitanie;Électricité;782;EL117;43.2020024621, 1.00117227256
BAIN;Régie municipale d'électricité de Salins les Bains;ZI Les Melincols - BP 7;39;03 84 73 78 00;rme.salins@wanadoo.fr;17X100B100A21178;electricite-salins.fr;39110;39500;Salins Les Bains;Jura;Bourgogne-Franche-Comté;Électricité;784;EL098;46.9478351925, 5.89762240995
ROMB;Régie municipale d'électricité et de télédistribution de Rombas;Rue du 8 mai 1945;57;03 87 67 03 83;regie.elec.rombas@wanadoo.fr;17X100B100A2094V;tvnetrombas.com;57120;57591;Rombas;Moselle;Grand Est;Électricité;788;EL088;49.2440664423, 6.08820823406
TALA;Régie municipale d'électricité et de télédistribution de Talange;10 Rue Emile Zola - BP 82;57;03 87 70 29 83;direction@talange.fr;17X100B100A21267;regie-talange.com;57525;57663;Talange;Moselle;Grand Est;Électricité;862;EL092;49.2342630409, 6.17206960901
QUIL;Energie Quillan Occitanie;18 rue de la Mairie;11;04 68 20 23 66;eqo.quillan@orange.fr;17X100B100A20902;oya-energies.fr/;11500;11304;Quillan;Aude;Occitanie;Électricité;764;EL125;42.8757498926, 2.19080612724
SLDN;Régie municipale électrique de Saint Leonard de Noblat;Chemin du Panaud;87;05 55 56 00 19;regie@ville-saint-leonard.fr;17X100B100A2102L;ville-saint-leonard.fr/ma-ville/services-municipaux;87400;87161;St Leonard De Noblat;Haute-Vienne;Nouvelle-Aquitaine;Électricité;830;EL009;45.8409102505, 1.4960643503
STBG;Réseau GDS;14, Place des Halles;67;03 88 75 20 20;grd@r-gds.fr;;reseau-gds.fr;67082;67482;Strasbourg Cedex;Bas-Rhin;Grand Est;Gaz;;EDG15;48.5712679849, 7.76752679517
BEAU;SEM Beauvois Distrelec;13 Rue Berthelot;59;03 27 85 09 85;contact@sicaesomme.fr;17X100B100A2013K;beauvoisdistrelec.fr;59157;59063;Beauvois-En-Cambresis;Nord;Hauts-de-France;Électricité;628;EL071;50.1403335661, 3.38449590227
SCAR;SICAE de Carnin;7 Rue Gabriel Péri;59;03 20 85 72 20;sicaecarnin@sicaesomme.fr;17X100B100A2148Y;sicaesomme.fr;59112;59133;Carnin;Nord;Hauts-de-France;Électricité;806;EL148;50.5196965937, 2.96024467267
SPSM;SICAE de Precy-Saint-Martin;28, rue Hautefeuille - BP 3;10;03 25 70 96 00;grd@sicae-precy.fr;17X100B100A2087S;sicae-precy.fr;10220;10287;Piney;Aube;Grand Est;Électricité;850;EL126;48.3314574257, 4.35909414684
SMMA;Syndicat d'électricité synergie Maurienne;2, Place du Marché;73;04 79 56 50 66;info@synergie-maurienne.fr;17X100B100A21089;regies-electricite-savoie.fr;73140;73261;St Michel De Maurienne;Savoie;Auvergne-Rhône-Alpes;Électricité;840;EL041;45.2382472621, 6.49342053727
LABE;Syndicat intercommunal d'électricité de Labergement Saint Marie;1 Chemin du Fourpéret;25;03 81 69 30 20;siel-fourperet@wanadoo.fr;17X100B100A20546;siel-fourperet.pagespro-orange.fr/;25160;25320;Labergement St-Marie;Doubs;Bourgogne-Franche-Comté;Électricité;704;EL124;46.7792090782, 6.276761432
CHAR;Synelva;BP 29;28;02 37 91 80 10;flc@rseipc.fr;17X100A100A03748;www.rseipc.fr;28110;28218;Luce;Eure-et-Loir;Centre-Val de Loire;Électricité;656;EL121;48.434779098, 1.45277569654
LUCE;Synelva;12 & 14, rue du Président Kennedy - BP 29;28;02 37 91 80 00;flc@rseipc.fr;17X100A100A03748;www.rseipc.fr;28111;28218;Luce Cedex;Eure-et-Loir;Centre-Val de Loire;Gaz;;EL121;48.434779098, 1.45277569654
VIAL;Vialis;10 Rue des Bonnes Gens - BP 70187;68;03 89 24 60 50;vialis.ard@calixo.net;17X100A100A05473;vialis.tm.fr;68004;68066;Colmar Cedex;Haut-Rhin;Grand Est;Électricité;880;EL052;48.1099405789, 7.38468690323
